latitude	longitude	altitude	geometry	coordinates	OBJECTID	CODE	GIS_PIN	GlobalID	GISPINOLD	SHAPE_Leng	ShapeSTArea	ShapeSTLength	Bldg_Type												
			Polygon	-72.71406241338161,41.74633579349073,-72.7145396338472,41.74653158152292,-72.71455252884,41.74647379074968,-72.71455366740135,41.74646907092161,-72.71457082135869,41.7463941296444,-72.71414631975487,41.746219955686,-72.71410550391786,41.74627545997537,-72.71406241338161,41.74633579349073	182416	PINCONDO	116474900		301001034		6738.78418	379.4092531	MIXED USE												
			Polygon	-72.71397164875539,41.74646142620362,-72.71449169893039,41.74667454425784,-72.7145396338472,41.74653158152292,-72.71406241338161,41.74633579349073,-72.71402093679444,41.746393108773965,-72.71397164875539,41.74646142620362	182447	PIN	116474016		301001033		8069.451355	416.0308856	MIXED USE												
			Polygon	-72.71449169893039,41.74667454425784,-72.7144660050156,41.74675033361852,-72.71503134481698,41.746707503309,-72.71506421631598,41.74670498937705,-72.71506509581454,41.74670493389994,-72.71504739492688,41.746572159822406,-72.7150291831222,41.74643562590653,-72.71502901593315,41.74643440024655,-72.71502845310731,41.74643027432272,-72.7150256313621,41.74643054789459,-72.71499290632562,41.746433529246936,-72.71477555774001,41.746453386646515,-72.71458606015372,41.74647069999816,-72.71455252884,41.74647379074968,-72.7145396338472,41.74653158152292,-72.71449169893039,41.74667454425784	182461	PIN	116474006		301001006		14548.30554	499.3010158	APARTMENT												
			Polygon	-72.71388455110124,41.74658190072512,-72.71444508502773,41.74681174436768,-72.7144660050156,41.74675033361852,-72.71449169893039,41.74667454425784,-72.71397164875539,41.74646142620362,-72.71388455110124,41.74658190072512	182470	PIN	116474017		301001032		8394.822937	437.678698	RES STR												
			Polygon	-72.71444508502773,41.74681174436768,-72.7144196486614,41.74688753379497,-72.71441428863234,41.746905562121924,-72.714462624834,41.746902064327784,-72.71506611228484,41.74685844974698,-72.71508436199538,41.74685716545447,-72.71508542474821,41.74685705600441,-72.7150838554114,41.74684522764324,-72.7150656068084,41.74670869373097,-72.71506509581454,41.74670493389994,-72.71506421631598,41.74670498937705,-72.71503134481698,41.746707503309,-72.7144660050156,41.74675033361852,-72.71444508502773,41.74681174436768	182501	PIN	116474005		301001007		9637.977051	462.3303375	Two Family												
			Polygon	-72.71379723311749,41.74670262209441,-72.71439876390356,41.74694927385932,-72.714400962085,41.74695018015287,-72.71441428863234,41.746905562121924,-72.7144196486614,41.74688753379497,-72.71444508502773,41.74681174436768,-72.71388455110124,41.74658190072512,-72.71379723311749,41.74670262209441	182519	PIN	116474018		301001031		9051.991943	464.1213624													
			Polygon	-72.714400962085,41.74695018015287,-72.71437684195178,41.74703118412352,-72.71437423541907,41.7470398278294,-72.71441154119812,41.747037177380385,-72.71454009590441,41.74702796870167,-72.7145509064979,41.747027231065104,-72.71507472614832,41.74698984891805,-72.71510184426387,41.746987908677156,-72.71510287036199,41.746987799217194,-72.71510261166473,41.74698585382917,-72.71510206744674,41.7469817615371,-72.71508542474821,41.74685705600441,-72.71508436199538,41.74685716545447,-72.71506611228484,41.74685844974698,-72.714462624834,41.746902064327784,-72.71441428863234,41.746905562121924,-72.714400962085,41.74695018015287	182535	PIN	116474004		301001008		9167.127625	481.7490747	APARTMENT												
			Polygon	-72.7145509064979,41.747027231065104,-72.71455214694643,41.747037220658385,-72.7145668866509,41.74715550404232,-72.71456699604434,41.74715649201995,-72.71456827306798,41.74716661798083,-72.71509832474797,41.74712682352418,-72.71511979944987,41.74712521088676,-72.71512119199065,41.74712510153765,-72.7151202795365,41.7471182954358,-72.71510287036365,41.74698779922974,-72.71510287036199,41.746987799217194,-72.71510184426387,41.746987908677156,-72.71507472614832,41.74698984891805,-72.7145509064979,41.747027231065104	182565	PIN	116474003		301001009		7670.740906	404.2461286	Two Family												
			Polygon	-72.71437423541907,41.7470398278294,-72.71433495301685,41.747171486682426,-72.71433113483528,41.74718441110333,-72.71436913705625,41.74718156878315,-72.71456827306798,41.74716661798083,-72.71456699604434,41.74715649201995,-72.7145668866509,41.74715550404232,-72.71455214694643,41.747037220658385,-72.7145509064979,41.747027231065104,-72.71454009590441,41.74702796870167,-72.71441154119812,41.747037177380385,-72.71437423541907,41.7470398278294	182567	PIN	116474020		301001039		2902.28894	218.4609606													
			Polygon	-72.71362259617317,41.746944063766726,-72.71430586476272,41.74722394849343,-72.71431788155357,41.74722886448709,-72.71433113483528,41.74718441110333,-72.71433495301685,41.747171486682426,-72.71437423541907,41.7470398278294,-72.71437684195178,41.74703118412352,-72.714400962085,41.74695018015287,-72.71439876390356,41.74694927385932,-72.71379723311749,41.74670262209441,-72.71371035454305,41.746823343532434,-72.71366267946007,41.74688943845627,-72.71362259617317,41.746944063766726	182574	PIN	116474019		301001029		20200.08331	608.2057821	MIXED USE												
